Meet|Level|Date|Results|Meet Url
RFS State Qualifier|Local|2023-04-21|13|5803
TFLGC Last Chance Open|Local|2023-04-18|6|5798
Alee Spring Open 2023|Local|2023-04-16|56|5792
2023 Cap City Open|Local|2023-04-16|73|5814
York County Barbell|Local|2023-04-15|11|5793
2023- Nashville Weightlifting Open|Local|2023-04-15|41|5795
2023 Larry Mintz memorial / Long  Island regional open|Local|2023-04-15|28|5796
2023 Mississippi Weightlifting Championship|Local|2023-04-15|26|5797
Mammoth Spring Meet|Local|2023-04-15|19|5799
Barbarian Barbell presents April Pulls 4!|Local|2023-04-15|45|5800
FHSAA Boys State Championships|Local|2023-04-15|42|5801
Handle Barbell Invitational 2023 NUQ|Local|2023-04-15|47|5790
In house meet|Local|2023-04-15|7|5802
43rd Spartan Open Weightlifting Championships|Local|2023-04-15|46|5791
VBW FRIDAY NIGHT LIGHTS III|Local|2023-04-14|23|5788
2023 Armor Classic|Local|2023-04-08|35|5784
Rose City Open|Local|2023-04-08|51|5786
2023 IWF Youth World Championships|International|2023-04-03|17|5773
First Annual SSC Open|Local|2023-04-02|34|5772
CHFP Youth Developmental Meet|Local|2023-04-02|12|5775
PRs for Puppies|Local|2023-04-02|104|5776
MASS Mania: Round One (2023)|Local|2023-04-02|21|5787
Fools Cup|Local|2023-04-01|28|5768
BARBELLS N SPRINKLES SPRING OPEN|Local|2023-04-01|56|5769
The Gator Weightlifting Spring Open 2023|Local|2023-04-01|42|5770
2023 Doc Yogi Memorial|Local|2023-04-01|40|5783
Spring Showdown|Local|2023-04-01|38|5785
USAW STAFF - Correction meet -|National|2023-04-01|1|5904
Pioneer Classic|Local|2023-04-01|20|5778
Iron Acres Youth Liftoff|Local|2023-04-01|25|5766
2023 Texas Barbell Spring Showdown|Local|2023-04-01|100|5779
Tampa Bay Spring Classic 6|Local|2023-04-01|83|5767
Thunderstruck|Local|2023-04-01|15|5780
2023 Pan American Championships|International|2023-04-01|20|5774
2023 March Online Qualifier Presented by WODProof|Local|2023-03-31|26|5777
March Madness Weightlifting Meet|Local|2023-03-30|7|5781
Adirondack Weightlifting Regional Open|Local|2023-03-26|60|5758
Rite of Passage 2023|Local|2023-03-26|53|5759
Caution Lift-Off|Local|2023-03-25|44|5757
Soul In-House States Qualifier|Local|2023-03-25|11|5755
Throwdown at D-Town|Local|2023-03-25|19|5756
Caution Lift-Off|Local|2023-03-25|44|5757
2023 Oklahoma Open|Local|2023-03-25|45|5782
2022 Utah Open|Local|2023-03-25|73|5760
Torque Barbell Open 2023|Local|2023-03-25|84|5761
2023 Coffee Winter #2|Local|2023-03-21|25|5754
2023 USA Weightlifting New Jersey March Mayhem|Local|2023-03-19|13|5752
2023 National Masters Championships|National|2023-03-19|783|5753
Spring Lift Off 2023|Local|2023-03-19|116|5750
March Madness States Prep meet|Local|2023-03-18|13|5751
High Desert 25th Aniversary|Local|2023-03-18|20|5763
Hassle Free BBC Spring Breaker Jr Champs|Local|2023-03-18|91|5747
Country Strong Spring Lift Off|Local|2023-03-18|19|5749
2023 Frederick Open|Local|2023-03-12|38|5745
Tradition Barbell Open III|Local|2023-03-11|65|5741
Crestview Bar Slam 2023|Local|2023-03-11|47|5742
Not the Festival|Local|2023-03-11|13|5765
March Madness|Local|2023-03-11|30|5743
The Shed Invitational|Local|2023-03-11|7|5744
Bulldog Weightlifting 2023|Local|2023-03-11|63|5746
Testify Leprechaun Lift-off|Local|2023-03-11|40|5740
2023 Minnesota High School State Championships|Local|2023-03-11|116|5771
The 2023 Nike North American Open Series 1, powered by Rogue|North American Open Series|2023-03-05|848|5737
