title,date,location,meet url id,old weight classes
2013 IWF GRAND PRIX - PRESIDENT'S CUP,"Nov 21, 2013","Moscow, RUS",?event_id=255,true
XVII BOLIVAR GAMES,"Nov 17, 2013","Chiclayo, PER",?event_id=257,true
2013 SOUTH AMERICAN CHAMPIONSHIPS,"Nov 16, 2013","Chiclayo, PER",?event_id=256,true
AFRICAN CHAMPIONSHIPS,"Oct 28, 2013","Casablanca, MAR",?event_id=254,true
AFRICAN JUNIOR CHAMPIONSHIPS,"Oct 28, 2013","Casablanca, MAR",?event_id=266,true
AFRICAN YOUTH CHAMPIONSHIPS,"Oct 28, 2013","Casablanca, MAR",?event_id=267,true
2013 IWF WORLD CHAMPIONSHIPS,"Oct 16, 2013","Wroclaw, POL",?event_id=253,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Sep 23, 2013","Tallin, EST",?event_id=269,true
ASIAN INTERCLUB CHAMPIONSHIPS,"Sep 11, 2013","Pyongyang, PRK",?event_id=272,true
ASIAN JUNIOR CUP,"Sep 10, 2013","Pyongyang, PRK",?event_id=259,true
ASIAN CUP,"Sep 10, 2013","Pyongyang, PRK",?event_id=258,true
XIV PACIFIC MINI GAMES,"Sep 03, 2013","Wallis & Futuna, WAF",?event_id=252,true
PAN AMERICAN YOUTH CHAMPIONSHIPS,"Sep 03, 2013","Cancun, MEX",?event_id=251,true
EUROPEAN UNDER 17 CHAMPIONSHIPS,"Sep 01, 2013","Klaipeda, LTU",?event_id=264,true
2013 ASIAN YOUTH GAMES,"Aug 17, 2013","Nanjing, CHN",?event_id=265,true
PAN AMERICAN JUNIOR CHAMPIONSHIPS,"Jul 29, 2013","Santiago de Chile, CHI",?event_id=250,true
2013 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS,"Jul 29, 2013","Santiago de Chile, CHI",?event_id=249,true
OCEANIA YOUTH CHAMPIONSHIPS,"Jul 12, 2013","Brisbane, AUS",?event_id=248,true
OCEANIA JUNIOR CHAMPIONSHIPS,"Jul 12, 2013","Brisbane, AUS",?event_id=247,true
OCEANIAN CHAMPIONSHIPS,"Jul 12, 2013","Brisbane, AUS",?event_id=246,true
27th SUMMER UNIVERSIADE,"Jul 06, 2013","Kazan, RUS",?event_id=245,true
ASIAN JUNIOR CHAMPIONSHIPS,"Jul 01, 2013","Bishkek, KGZ",?event_id=271,true
PAN AMERICAN CHAMPIONSHIPS,"Jun 22, 2013","Caracas, VEN",?event_id=241,true
ASIAN CHAMPIONSHIPS,"Jun 20, 2013","Astana, KAZ",?event_id=240,true
XVII MEDITERRANEAN GAMES,"Jun 20, 2013","Mersin, TUR",?event_id=243,true
ASIAN YOUTH CHAMPIONSHIPS,"May 26, 2013","Doha, QAT",?event_id=270,true
"10th INTERNATIONAL ""ASVO-NO"" WOMEN`S GRAND PRIX","May 09, 2013","Brunn am Gebirge, AUT",?event_id=273,true
2013 IWF JUNIOR WORLD CHAMPIONSHIPS,"May 03, 2013","Lima, PER",?event_id=239,true
35th EUROPEAN SMALL NATIONS TOURNAMENT,"Apr 26, 2013","Malta, MLT",?event_id=374,true
EUROPEAN CHAMPIONSHIPS,"Apr 08, 2013","Tirana, ALB",?event_id=237,true
2013 IWF YOUTH WORLD CHAMPIONSHIPS,"Apr 07, 2013","Tashkent, UZB",?event_id=236,true
